Local,Ano,BCG,Hib3,DTP3,Saneamento Seguro (%),Numero Total de Imigrantes,Gini (Indice de Desigualdade no Pais),Populacao,Taxa de Extrema Pobreza (%),Numero de Usuario de Internet,Numero de Casos de Infeccoes Respiratorios e Tuberculose
Uganda,2016,94,93,93,16.850943,1025003,41,41487965,29.44,2324898,17331346
Uganda,2017,89,94,94,17.0132,1198830,41,42862958,28.91,3250295,17609080
Uganda,2018,88,93,93,17.174013,1372658,41,44270563,27.69,4525178,17865685
Uganda,2019,88,93,93,17.333563,1546485,41,45711874,26.44,6313514,18133724
Uganda,2020,91,89,89,17.491642,1720313,41,47187703,25.2,8836517,18529911
Ukraine,2016,75,47,19,67.15047,4931591,25,44438625,0.08,23762225,11777264
Ukraine,2017,84,39,50,69.56755,4948040,26,44222947,0.07,26298428,11492255
Ukraine,2018,90,58,69,71.985886,4964489,26,44009214,0.05,27802970,11214166
Ukraine,2019,84,80,80,71.97734,4980938,26,43795220,0.04,31002966,10974809
Ukraine,2020,93,85,81,71.96382,4997387,26,43579234,0.03,32948894,11185641
United Arab Emirates,2016,99,99,99,98.452065,8139367,40,9269612,0,8148806,3165756
United Arab Emirates,2017,95,98,97,98.45444,8283608,40,9400145,0,8598552,3137588
United Arab Emirates,2018,95,99,99,98.45682,8427850,40,9541615,0,8998500,3117545
United Arab Emirates,2019,94,99,99,98.4592,8572091,40,9682088,0,9133361,3106823
United Arab Emirates,2020,86,90,90,98.461586,8716332,40,9813170,0,9287286,3162656
United Kingdom,2016,0,94,94,98.03514,8597514,34,65788574,0,62225247,8381098
United Kingdom,2017,0,94,94,98.04897,8788032,34,66181585,0,59738807,8345083
United Kingdom,2018,0,94,94,98.06269,8978551,34,66573504,0,60249419,8311041
United Kingdom,2019,0,93,93,98.076355,9169069,34,66959016,0,61781367,8278303
United Kingdom,2020,0,93,93,98.08986,9359587,34,67334208,0,63584584,8651748
United States,2016,0,93,95,97.19027,48669669,41,322179605,0,279910069,53468015
United States,2017,0,92,94,97.16416,49160461,41,324459463,0,287824925,55225182
United States,2018,0,92,94,97.13868,49651252,41,326766748,0,293940279,57018282
United States,2019,0,91,94,97.11384,50142044,41,329093110,0,298983035,58138655
United States,2020,0,90,93,97.08966,50632836,41,331431534,0,305371298,60750802
Uzbekistan,2016,99,99,99,74.2225,1169100,34,31446795,11.25,14717533,9002403
Uzbekistan,2017,99,99,99,74.289566,1167327,34,31910641,9.52,15557545,8935468
Uzbekistan,2018,96,98,98,74.35136,1165553,34,32364996,8.18,17912167,8860697
Uzbekistan,2019,99,96,96,74.407814,1163780,34,32807368,6.99,23215770,8791054
Uzbekistan,2020,99,95,95,74.45844,1162007,34,33235825,5.96,23837456,9164302
Zimbabwe,2016,95,90,90,32.853817,403614,43,16150362,12.57,3341464,3013217
Zimbabwe,2017,95,89,89,33.5866,406746,43,16529904,12.96,3599269,3005903
Zimbabwe,2018,95,89,89,33.544266,409877,43,16913261,12.37,3763048,3001844
Zimbabwe,2019,95,90,90,32.961483,413009,43,17297495,11.84,3854006,3003321
Zimbabwe,2020,88,86,86,32.381233,416141,43,17680465,11.28,4591211,3150757
